models/: junction (salt okunur kullanim; depo dosyalarina yazilmaz)
ayna agaci: C:\Users\pc\AppData\Local\Temp\scratch\C--Users-pc-Desktop-efe--eviri-uygulamas-\d52c967f-bd19-4db3-b5e9-77e6cd08b889\scratchpad\t008_tester_B_ayna   (depo YAZILMAZ)
kapilar PYTHONIOENCODING'siz (cp1254) kosar; real_check yalniz ASCII basar

KURU KOSUM: yama hedefleri + py_compile
  M01   yama OK, derlendi
  M02   yama OK, derlendi
  M03   yama OK, derlendi
  M04   yama OK, derlendi
  M05   yama OK, derlendi
  M06   yama OK, derlendi
  M07   yama OK, derlendi
  M08   yama OK, derlendi
  M09   yama OK, derlendi
  M10   yama OK, derlendi
  M11   yama OK, derlendi
  M12   yama OK, derlendi
  M13   yama OK, derlendi
  M14   yama OK, derlendi
  M15   yama OK, derlendi
  M16   yama OK, derlendi
  M17   yama OK, derlendi
  M18   yama OK, derlendi
  M19   yama OK, derlendi
  M20   yama OK, derlendi
  M21   yama OK, derlendi
  M22   yama OK, derlendi
  M23   yama OK, derlendi
  M24   yama OK, derlendi
  M25   yama OK, derlendi
  M26   yama OK, derlendi
  M27   yama OK, derlendi
  M28   yama OK, derlendi
  M29   yama OK, derlendi
  M30   yama OK, derlendi
  M31   yama OK, derlendi
  M32   yama OK, derlendi
  M33   yama OK, derlendi
  M34   yama OK, derlendi
  M35   yama OK, derlendi
  M36   yama OK, derlendi
  M37   yama OK, derlendi
  M38   yama OK, derlendi
  M39   yama OK, derlendi
  M40   yama OK, derlendi
  M41   yama OK, derlendi
  M42   yama OK, derlendi
  M43   yama OK, derlendi
  M44   yama OK, derlendi
  M45   yama OK, derlendi
  M46   yama OK, derlendi
  M47   yama OK, derlendi
  M48   yama OK, derlendi
  M49   yama OK, derlendi
  M50   yama OK, derlendi
  M51   yama OK, derlendi
  M52   yama OK, derlendi
  M53   yama OK, derlendi
  C-7   yama OK, derlendi
  C-8   yama OK, derlendi
  C-6   yama OK, derlendi
  C-1   yama OK, derlendi
  C-2   yama OK, derlendi
  C-3   yama OK, derlendi
  C-4   yama OK, derlendi
  C-5   yama OK, derlendi
