T-011 mutant kiti -- ayna: C:\Users\pc\AppData\Local\Temp\t011_ayna
TEMEL (mutantsiz; sure testleri haric): failed=0 passed=254 error=0
ad    sonuc    beklenen   aciklama
M01   X (20)   YAKALA     K1: sinir kurali tamamen kaldirildi (alt dize esleme)
M02   X (3)    YAKALA     K1: en-uzun-once TERS (kisa once)
M03   X (23)   YAKALA     K1: JP parcacik kumesi sinir degil (Latin ad + JP parcacik eslesmez)
M04   X (32)   YAKALA     K1: KR ek kurali kaldirildi (terim+KR ek eslesmez)
M05   X (19)   YAKALA     K1 (KRT O2): metin casefold'lanip aranir (indeks kayar, source_term degisir)
M06   X (7)    YAKALA     K6: NFC kaldirildi
M07   X (8)    YAKALA     K2: start-ARTAN uygulama (indeksler kayar)
M08   X (1)    YAKALA     K4: gomde buyuk harf kapali
M09   X (3)    YAKALA     K4: yuklemede buyuk harf kapali (TermHit.target_term kucuk)
M10   X (6)    YAKALA     K3: lookup placeholders yoksayildi
M11   X (3)    YAKALA     K7: segment_index None SESSIZCE yutuldu (hit atlanir)
M12   X (9)    YAKALA     K6: tek kodpoint sema kontrolu kaldirildi
M13   X (8)    YAKALA     K6: hedefte terminator kontrolu kaldirildi
M14   X (3)    YAKALA     K6: hedefte {} kontrolu kaldirildi
M15   X (5)    YAKALA     K6: tekrar eden kaynak kontrolu kaldirildi
M16   X (3)    YAKALA     K2: ortusen hit denetimi kaldirildi
M17   X (4)    YAKALA     K2: text[start:end] == source_term denetimi kaldirildi
M18   X (1)    YAKALA     K3: gomde yer tutucu ortusme denetimi kaldirildi
M19   X (1)    YAKALA     K2: bos hits -> kopya nesneler (is bozulur)
M20   X (5)    YAKALA     K1: komsu terim siniri kaldirildi (sol + sag; bitisik unvan+ad tek/hicbir hit)
M21   X (3)    YAKALA     K1: donus start-artan siralanmaz (islem sirasi)
M22   X (3)    YAKALA     K1: KR ek zinciri derinligi 1 (iki ek ust uste eslesmez)
M23   X (1)    YAKALA     K1/K3: yer tutucu ucu sinir degil (%s + JP ad)
M24   X (1)    YAKALA     K1: trie anahtari harf durumunu katlamaz (Marcus / marcus aurelius ayri dal)
M25   X (1)    YAKALA     K1: onek tablosu kullanilmaz (konum basina yalniz en uzun aday)
M26   X (2)    YAKALA     K1 (G6): ekten SONRA sinir sarti kaldirildi (ek+devam eden hece eslesir)
M27   X (6)    YAKALA     K1: SOL sinir kurali kaldirildi (on-bilesikler: windmill vb.)
M28   X (15)   YAKALA     K1: SAG sinir kurali kaldirildi (son-bilesikler: elders vb.)
M29   X (1)    YAKALA     K2: start == end (bos aralik) kabul
M30   X (1)    YAKALA     K4: Turkce i -> noktali buyuk I kurali kaldirildi
M31   X (4)    YAKALA     K1: lookup_segments segment_index doldurmaz
M32   X (8)    YAKALA     K1/K2: ortusme `<` -> `<=` (bitisik araliklar ortusme sayilir)
C-1   .        KACSIN     KONTROL: aday siralamasi acik anahtarla (ayni tuple) -- esdeger
C-2   .        KACSIN     KONTROL: _ortusur kosulunun yanlari yer degistirdi -- esdeger
C-3   .        KACSIN     KONTROL: KR ek dongusu kisa once -- ozyineli tarama sirayi anlamsiz kilar, esdeger

32 davranis mutanti + 3 kontrol; beklenti tutmayan: 0 []
dusen test adlari: mutant-ayirt-etme-hangi-testler.txt
